Registration Number,Course Code,Building Name,Floor Number,Room Name,Section,Semester,Programme,Department
EMP01,HUM 4001,AB5,3,317,IT7A,7,B.Tech.,HUM
EMP02,ICT 4101,AB5,3,317,IT7A,7,B.Tech.,ICT
EMP03,ICT 4102,AB5,3,317,IT7A,7,B.Tech.,ICT
EMP03,DA4,AB5,3,8,IT7A,7,B.Tech.,ICT
EMP049,DA4,AB5,3,8,IT7A,7,B.Tech.,ICT
EMP04,HUM 4001,AB5,3,315,IT7B,7,B.Tech.,HUM
EMP05,ICT 4101,AB5,3,315,IT7B,7,B.Tech.,ICT
EMP06,ICT 4102,AB5,3,315,IT7B,7,B.Tech.,ICT
EMP05,DA4,AB5,3,8,IT7B,7,B.Tech.,ICT
EMP03,DA4,AB5,3,8,IT7B,7,B.Tech.,ICT
EMP01,HUM 4001,AB5,3,311,CCE7A,7,B.Tech.,HUM
EMP06,ICT 4102,AB5,3,311,CCE7A,7,B.Tech.,ICT
EMP09,ICT 4151,AB5,3,311,CCE7A,7,B.Tech.,ICT
EMP041,ND&WSAN4,AB5,3,8,CCE7A,7,B.Tech.,ICT
EMP015,ND&WSAN4,AB5,3,8,CCE7A,7,B.Tech.,ICT
EMP010,HUM 4001,AB5,3,313,CCE7B,7,B.Tech.,HUM
EMP011,ICT 4102,AB5,3,313,CCE7B,7,B.Tech.,ICT
EMP012,ICT 4151,AB5,3,313,CCE7B,7,B.Tech.,ICT
EMP051,ND&WSAN4,AB5,3,8,CCE7B,7,B.Tech.,ICT
EMP015,ND&WSAN4,AB5,3,8,CCE7B,7,B.Tech.,ICT
EMP013,ICT 4019,AB5,3,311,PE7,7,B.Tech.,ICT
EMP014,ICT 4011,AB5,3,311,PE7,7,B.Tech.,ICT
EMP015,ICT 4008,AB5,3,311,PE7,7,B.Tech.,ICT
EMP020,ICT 3101,AB5,3,317,IT5B,7,B.Tech.,ICT
EMP012,ICT 3102,AB5,3,317,IT5B,7,B.Tech.,ICT
EMP022,ICT 3103,AB5,3,317,IT5B,7,B.Tech.,ICT
EMP019,ICT 3107,AB5,3,317,IT5B,7,B.Tech.,ICT
EMP049,ES3,AB5,3,2,IT5B,7,B.Tech.,ICT
EMP046,ES3,AB5,3,2,IT5B,7,B.Tech.,ICT
EMP026,ITT3,AB5,3,5,IT5B,7,B.Tech.,ICT
EMP020,ITT3,AB5,3,2,IT5B,7,B.Tech.,ICT
EMP039,OS3,AB5,3,8,IT5B,7,B.Tech.,ICT
EMP020,OS3,AB5,3,8,IT5B,7,B.Tech.,ICT
EMP024,ICT 3151,AB5,3,313,CCE5B,7,B.Tech.,ICT
EMP025,ICT 3152,AB5,3,313,CCE5B,7,B.Tech.,ICT
EMP026,ICT 3153,AB5,3,313,CCE5B,7,B.Tech.,ICT
EMP032,ICT 3154,AB5,3,313,CCE5B,7,B.Tech.,ICT
EMP033,ICT 3155,AB5,3,313,CCE5B,7,B.Tech.,ICT
EMP034,RUP3,AB5,3,5,CCE5B,7,B.Tech.,ICT
EMP025,RUP3,AB5,3,5,CCE5B,7,B.Tech.,ICT
EMP032,DBS3,AB5,3,1,CCE5B,7,B.Tech.,ICT
EMP033,DBS3,AB5,3,1,CCE5B,7,B.Tech.,ICT
EMP034,ICT 4006,AB5,3,311,PE1,7,B.Tech.,ICT
EMP035,MAT 2155,AB5,3,215,IT3A,3,B.Tech.,MAT
EMP036,ICT 2151,AB5,3,215,IT3A,3,B.Tech.,ICT
EMP037,ICT 2152,AB5,3,215,IT3A,3,B.Tech.,ICT
EMP022,ICT 2153,AB5,3,215,IT3A,3,B.Tech.,ICT
EMP039,ICT 2154,AB5,3,215,IT3A,3,B.Tech.,ICT
EMP039,DS2,AB5,3,3,IT3A,3,B.Tech.,ICT
EMP011,DS2,AB5,3,3,IT3A,3,B.Tech.,ICT
EMP022,OOP2,AB5,3,1,IT3A,3,B.Tech.,ICT
EMP054,OOP2,AB5,3,1,IT3A,3,B.Tech.,ICT
EMP037,DSM2,AB5,3,9,IT3A,3,B.Tech.,ICT
EMP03,DSM2,AB5,3,9,IT3A,3,B.Tech.,ICT
EMP040,MAT 2155,AB5,3,216,IT3B,3,B.Tech.,MAT
EMP041,ICT 2151,AB5,3,216,IT3B,3,B.Tech.,ICT
EMP042,ICT 2152,AB5,3,216,IT3B,3,B.Tech.,ICT
EMP043,ICT 2153,AB5,3,216,IT3B,3,B.Tech.,ICT
EMP044,ICT 2154,AB5,3,216,IT3B,3,B.Tech.,ICT
EMP041,DS2,AB5,3,3,IT3B,3,B.Tech.,ICT
EMP05,DS2,AB5,3,3,IT3B,3,B.Tech.,ICT
EMP011,OOP2,AB5,3,3,IT3B,3,B.Tech.,ICT
EMP02,OOP2,AB5,3,1,IT3B,3,B.Tech.,ICT
EMP034,DSM2,AB5,3,9,IT3B,3,B.Tech.,ICT
EMP03,DSM2,AB5,3,9,IT3B,3,B.Tech.,ICT
EMP045,MAT 2155,AB5,3,214,CCE3A,3,B.Tech.,MAT
EMP046,ICT 2151,AB5,3,214,CCE3A,3,B.Tech.,ICT
EMP042,ICT 2155,AB5,3,214,CCE3A,3,B.Tech.,ICT
EMP048,ICT 2153,AB5,3,214,CCE3A,3,B.Tech.,ICT
EMP049,ICT 2154,AB5,3,214,CCE3A,3,B.Tech.,ICT
EMP046,DS2,AB5,3,4,CCE3A,3,B.Tech.,ICT
EMP025,DS2,AB5,3,4,CCE3A,3,B.Tech.,ICT
EMP024,OOP2,AB5,3,1,CCE3A,3,B.Tech.,ICT
EMP033,OOP2,AB5,3,5,CCE3A,3,B.Tech.,ICT
EMP042,DSD2,AB5,3,9,CCE3A,3,B.Tech.,ICT
EMP020,DSD2,AB5,3,9,CCE3A,3,B.Tech.,ICT
EMP016,ICT 3101,AB5,3,315,IT5A,5,B.Tech.,ICT
EMP09,ICT 3102,AB5,3,315,IT5A,5,B.Tech.,ICT
EMP018,ICT 3103,AB5,3,315,IT5A,5,B.Tech.,ICT
EMP019,ICT 3107,AB5,3,315,IT5A,5,B.Tech.,ICT
EMP024,ICT 3151,AB5,3,315,CCE5A,5,B.Tech.,ICT
EMP025,ICT 3152,AB5,3,315,CCE5A,5,B.Tech.,ICT
EMP026,ICT 3153,AB5,3,315,CCE5A,5,B.Tech.,ICT
EMP027,ICT 3154,AB5,3,315,CCE5A,5,B.Tech.,ICT
EMP018,ICT 3155,AB5,3,315,CCE5A,5,B.Tech.,ICT
EMP054,RUP3,AB5,3,5,CCE5A,7,B.Tech.,ICT
EMP032,RUP3,AB5,3,5,CCE5A,7,B.Tech.,ICT
EMP027,DBS3,AB5,3,1,CCE5A,7,B.Tech.,ICT
EMP055,DBS3,AB5,3,1,CCE5A,7,B.Tech.,ICT
EMP09,ES3,AB5,3,2,IT5A,7,B.Tech.,ICT
EMP049,ES3,AB5,3,2,IT5A,7,B.Tech.,ICT
EMP018,ITT3,AB5,3,5,IT5A,7,B.Tech.,ICT
EMP027,ITT3,AB5,3,2,IT5A,7,B.Tech.,ICT
EMP056,OS3,AB5,3,8,IT5A,7,B.Tech.,ICT
EMP044,OS3,AB5,3,8,IT5A,7,B.Tech.,ICT
EMP050,MAT 2155,AB5,3,213,CCE3B,3,B.Tech.,MAT
EMP051,ICT 2151,AB5,3,213,CCE3B,3,B.Tech.,ICT
EMP037,ICT 2155,AB5,3,213,CCE3B,3,B.Tech.,ICT
EMP044,ICT 2153,AB5,3,213,CCE3B,3,B.Tech.,ICT
EMP054,ICT 2154,AB5,3,213,CCE3B,3,B.Tech.,ICT
EMP051,DS2,AB5,3,3,CCE3B,3,B.Tech.,ICT
EMP015,DS2,AB5,3,3,CCE3B,3,B.Tech.,ICT
EMP054,OOP2,AB5,3,3,CCE3B,3,B.Tech.,ICT
EMP013,OOP2,AB5,3,3,CCE3B,3,B.Tech.,ICT
EMP055,DSD2,AB5,3,9,CCE3B,3,B.Tech.,ICT
EMP03,DSD2,AB5,3,9,CCE3B,3,B.Tech.,ICT
